Genre,Domestic Sales (in $)
Sci-Fi,207482527.86805555
Adventure,195358966.95357144
Fantasy,185955321.74825174
Musical,185196243.47826087
Animation,185144032.49411765
Action,183571855.85977858
Family,175040220.67692307
Comedy,161489611.41363636
Romance,155242890.5402299
Drama,154317826.0925926
Crime,151271041.67105263
Mystery,151184752.81632653
Sport,150767905.0909091
Thriller,146496097.2384106
Music,138328062.15789473
Biography,127256018.42105263
Documentary,119194771.0
Horror,110373089.90625
Western,105506560.33333333
War,101052641.75
History,90534835.125
